chr	start	end	strand	Gene_symbol
chr1	65775018	65775746	+	DNAJC6
chr1	65885856	65886704	+	LEPR
chr1	65991001	65991811	+	LEPR
chr1	66258440	66258918	+	PDE4B
chr1	66998728	66999060	+	SGIP1
chr1	67218079	67218293	+	TCTEX1D1
chr1	67390468	67391109	+	MIER1
chr1	67395683	67396483	+	MIER1
chr1	67519224	67520139	-	SLC35D1
chr1	67600390	67600715	-	C1orf141
chr1	67773329	67773767	+	IL12RB2
chr1	67895135	67896826	-	SERBP1
chr1	68150913	68152270	+	GADD45A
chr1	68298371	68299315	+	GNG12-AS1
chr1	68516236	68516473	-	DIRAS3
chr1	68696639	68697628	-	WLS
chr1	68962283	68963006	+	DEPDC1-AS1
chr1	70385043	70385270	+	PIN1P1
chr1	70671183	70671442	+	SRSF11
chr1	70819733	70820719	+	HHLA3
chr1	70876622	70877091	+	CTH
chr1	71512224	71513804	+	ZRANB2-AS1
chr1	71546486	71546783	+	ZRANB2-AS2
chr1	72748471	72749736	-	NEGR1
chr1	74663826	74664035	+	FPGT-TNNI3K
chr1	75600674	75601415	+	LHX8
chr1	76080454	76080808	-	SLC44A5
chr1	76189916	76190730	+	ACADM
chr1	76262536	76262903	+	MSH4
chr1	76540147	76540653	+	ST6GALNAC3
chr1	77333111	77334534	+	ST6GALNAC5
chr1	77684996	77685252	-	PIGK
chr1	77747314	77748224	+	AK5
chr1	78148217	78149418	-	ZZZ3
chr1	78224843	78225650	-	USP33
chr1	78354381	78354673	+	NEXN
chr1	78444303	78444605	+	DNAJB4
chr1	78444763	78445281	+	DNAJB4
chr1	78511577	78512161	+	GIPC2
chr1	78956624	78957516	+	PTGFR
chr1	79472281	79472537	-	ADGRL4
chr1	82265998	82269048	+	ADGRL2
chr1	84326267	84326838	-	LOC101927587
chr1	84464223	84465232	-	TTLL7
chr1	84543146	84544261	+	PRKACB
chr1	84764108	84764906	+	SAMD13
chr1	84944932	84945350	+	RPF1
chr1	84971344	84972491	+	SPATA1
chr1	85039825	85040344	-	CTBS
chr1	85086321	85086766	-	LINC01461
chr1	85155605	85156574	-	SSX2IP
chr1	85358359	85359187	-	LPAR3
chr1	85462585	85463435	-	MCOLN2
chr1	85513509	85514555	-	MCOLN3
chr1	85665818	85667650	-	SYDE2
chr1	85724701	85725524	-	C1orf52
chr1	85741865	85742535	+	LOC646626
chr1	85929940	85931168	-	DDAH1
chr1	86046362	86047240	+	CYR61
chr1	86174041	86174253	-	ZNHIT6
chr1	86621278	86622871	-	COL24A1
chr1	86861566	86862083	-	ODF2L
chr1	87169875	87171015	+	SH3GLB1
chr1	87380162	87381214	+	HS2ST1
chr1	87597543	87598515	+	LINC01140
chr1	87793802	87795142	+	LMO4
chr1	89149594	89150658	+	PKN2
chr1	89356963	89357391	-	GTF2B
chr1	89458034	89458604	-	RBMXL1
chr1	89989810	89990986	+	LRRC8B
chr1	90098230	90099292	+	LRRC8C
chr1	90286189	90287222	+	LRRC8D
chr1	90460399	90461237	+	ZNF326
chr1	91182097	91182364	-	BARHL2
chr1	91316249	91317390	-	LOC105378853
chr1	91487158	91487807	-	ZNF644
chr1	91869876	91870390	-	HFM1
chr1	91966263	91966999	+	CDC7
chr1	92350913	92352085	-	TGFBR3
chr1	92414718	92414986	+	BRDT
chr1	92495367	92495964	+	EPHX4
chr1	92545819	92546480	+	BTBD8
chr1	92683438	92683682	+	C1orf146
chr1	92764173	92764926	+	RPAP2
chr1	92945907	92952609	-	GFI1
chr1	93297498	93298122	+	RPL5
chr1	93426512	93427754	-	FAM69A
chr1	93544558	93545032	+	MTF2
chr1	93645432	93646471	+	CCDC18
chr1	93811218	93811940	+	DR1
chr1	93913636	93914524	+	FNBP1L
chr1	94146321	94147504	-	BCAR3
chr1	94311844	94313086	+	MIR760
chr1	94344507	94344822	-	DNTTIP2
chr1	94374369	94375467	-	GCLM
chr1	94702690	94703344	-	ARHGAP29
chr1	94883525	94884402	+	ABCD3
chr1	95006837	95008051	-	F3
chr1	95285602	95286319	+	SLC44A3
chr1	95391837	95393116	+	LOC729970
chr1	95538251	95538551	-	ALG14
chr1	95582750	95583572	+	TMEM56-RWDD3
chr1	95699725	95700142	+	RWDD3
chr1	97187102	97187606	+	PTBP2
chr1	98386189	98386724	-	DPYD
chr1	98510966	98511710	-	MIR2682
chr1	99126872	99127711	+	SNX7
chr1	99469932	99470968	+	LOC100129620
chr1	99729982	99730335	+	PLPPR4
chr1	100315420	100316009	+	AGL
chr1	100435297	100436070	+	SLC35A3
chr1	100503482	100504404	+	MFSD14A
chr1	100598130	100598754	+	TRMT13
chr1	100731632	100731999	+	RTCA
chr1	100817709	100818899	+	CDC14A
chr1	101004471	101005885	+	GPR88
chr1	101360588	101360832	+	SLC30A7
chr1	101491317	101491680	+	LOC102606465
chr1	101701785	101702068	+	S1PR1
chr1	104068487	104068913	+	RNPC3
chr1	107599205	107600410	+	PRMT6
chr1	107682889	107684463	+	NTNG1
chr1	108507251	108507841	+	VAV3-AS1
chr1	108735227	108735513	-	SLC25A24
